"MSDIAL_HexCer_EOS","[M+H]+","1","2","3","4","5","6","7"
"MSDIAL_HexCer 14:1;2O/38:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;GRFINBUFPJMBHX-NECFUIDXNA-N;C58H111NO10","982.82807","208.206","802.7646","820.7753","982.8281","784.7541","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/38:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;RWAJCBMCUCBUKM-ZDDCGZIENA-N;C58H109NO10","980.81242","208.206","800.749","818.7596","980.8124","782.7385","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/38:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCC\C=C/C\C=C/CCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;UMLDARBKIYVRCN-UMEGFTMDNA-N;C58H107NO10","978.79677","208.206","798.7334","816.744","978.7968","780.7228","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/38:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCC\C=C/C\C=C/CCOC(=O)CCCCCCC\C=C/CCCC;UFZWYJCCMJWLFB-QUQSJXBUNA-N;C58H105NO10","976.78112","208.206","796.7177","814.7283","976.7811","778.7072","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/38:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;QLLBTOZYGHPQJE-DPDRLSQHNA-N;C58H103NO10","974.76547","208.206","794.7021","812.7126","974.7654","776.6915","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/39:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;ZISONPFLNITVDI-LYMKOHMFNA-N;C59H113NO10","996.84372","208.206","816.7803","834.7909","996.8438","798.7698","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/39:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;JAYRERRCUBJJKT-NMPNUONHNA-N;C59H111NO10","994.82807","208.206","814.7646","832.7753","994.8281","796.7541","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/39:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;VIOUQGXEQDBPEJ-YYIGQZNXNA-N;C59H109NO10","992.81242","208.206","812.749","830.7596","992.8124","794.7385","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/39:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCC\C=C/C\C=C/CCOC(=O)CCCCCCC\C=C/CCCCC;WYGJPTZYWQRRBQ-JPCJUNRJNA-N;C59H107NO10","990.79677","208.206","810.7334","828.744","990.7968","792.7228","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/39:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;ISBAYMMVSDKFIL-CPIRBVOUNA-N;C59H105NO10","988.78112","208.206","808.7177","826.7283","988.7811","790.7072","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/40:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;JLTBGWSMDOQXOX-IFJLIMJSNA-N;C60H115NO10","1010.85937","208.206","830.796","848.8065","1010.859","812.7854","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/40:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;WURPQNNNLVWACI-BVAGNDLSNA-N;C60H113NO10","1008.84372","208.206","828.7803","846.7909","1008.844","810.7698","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/40:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;PDBKVHXAHAFKTQ-MQQYXYCMNA-N;C60H111NO10","1006.82807","208.206","826.7646","844.7753","1006.828","808.7541","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/40:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;HWCZMLAVLIJWCY-YVFNHTNONA-N;C60H109NO10","1004.81242","208.206","824.749","842.7596","1004.812","806.7385","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/40:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(COC1OC(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCCC\C=C/C\C=C/CCOC(=O)CCCCCCC\C=C/C\C=C/CCC;DRKUACLGIAARJM-MQTBIIKQNA-N;C60H107NO10","1002.79677","208.206","822.7334","840.744","1002.797","804.7228","196.206","226.2166"
"MSDIAL_HexCer 14:1;2O/41:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(O)C(O)C1O)C(O)\C=C\CCCCCCCCC;CCODJZBKBMDQAE-HPVLHQIINA-N;C61H117NO10","1024.87502","208.206","844.8116","862.8222","1024.875","826.801","196.206","226.2166"
