"MSDIAL_OxPS","[M-H]-","1","2","3","4","5","6"
"MSDIAL_PS 18:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;IIGKZURBRWBRAM-SZXPTWDZNA-N;C44H78NO14P","874.50872","283.2635","787.4767","874.5087","349.2021","331.1915","367.2126"
"MSDIAL_PS 18:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;RTKCZNMSNCTVEN-OWUFSUKINA-N;C44H76NO11P","824.50832","283.2635","737.4763","824.5083","299.2017","317.2122","1"
"MSDIAL_PS 18:0_20:6;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;MPCUPTPDVNIBAS-GTJZUOQONA-N;C44H74NO11P","822.49267","283.2635","735.4606","822.4927","315.1966","1","1"
"MSDIAL_PS 18:0_20:5;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;TVTYJIOGIAMDMO-YDAWSWDDNA-N;C44H76NO12P","840.50324","283.2635","315.1966","753.4712","840.5032","297.186","333.2071"
"MSDIAL_PS 18:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;PRXGCBRQLPJCOK-STPXBLHJNA-N;C44H76NO13P","856.49815","283.2635","769.4661","856.4982","313.1809","331.1915","349.2021"
"MSDIAL_PS 18:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;QGXGQEYTFCNOMT-UJNQZSPMNA-N;C44H76NO13P","856.49815","283.2635","769.4661","856.4982","331.1915","349.2021","1"
"MSDIAL_PS 18:0_20:5;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;LUUNBHCZGZQLQZ-UJNQZSPMNA-N;C44H76NO14P","872.49307","283.2635","785.4611","872.493","347.1864","329.1758","365.197"
"MSDIAL_PS 18:0_22:5;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;XLZQJENCQXUJPK-GCHHYRJUNA-N;C46H78NO11P","850.52397","283.2635","763.4919","850.524","343.2279","1","1"
"MSDIAL_PS 18:0_22:5;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;BTHMTIYLPPLIOZ-GCHHYRJUNA-N;C46H80NO12P","868.53454","283.2635","343.2279","781.5025","868.5345","325.2173","361.2384"
"MSDIAL_PS 18:0_22:6;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(N)C(O)=O)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;IPUFEYBGWAFHMV-JADASICXNA-N;C46H78NO11P","850.52397","283.2635","763.4919","850.524","325.2173","343.2279","1"
