"MSDIAL_Cer_EOS","[M+H]+","1","2","3","4","5","6"
"MSDIAL_Cer 14:1;2O/39:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;DIFREUAQQJAFJT-NMPNUONHNA-N;C53H101NO5","832.77525","208.206","814.7647","796.7541","832.7753","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/39:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/CCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;MGSDTGSWHOQKGN-YYIGQZNXNA-N;C53H99NO5","830.75960","208.206","812.749","794.7385","830.7596","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/39:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCCC\C=C/C\C=C/CCOC(=O)CCCCCCC\C=C/CCCCC;QKXCRPFQICUOHG-JPCJUNRJNA-N;C53H97NO5","828.74395","208.206","810.7334","792.7228","828.744","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/39:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCC\C=C/C=C\CCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;UMXRJDBFTXPMKU-CPIRBVOUNA-N;C53H95NO5","826.72830","208.206","808.7177","790.7072","826.7283","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/40:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VJLSJDBGWPKQOB-IFJLIMJSNA-N;C54H105NO5","848.80655","208.206","830.796","812.7854","848.8066","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/40:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;KKBZMKUUNLRPKH-BVAGNDLSNA-N;C54H103NO5","846.79090","208.206","828.7803","810.7698","846.7909","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/40:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;NXSBVGBDXHQAGU-MQQYXYCMNA-N;C54H101NO5","844.77525","208.206","826.7647","808.7541","844.7753","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/40:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;PUBZDSWZCQMIPB-YVFNHTNONA-N;C54H99NO5","842.75960","208.206","824.749","806.7385","842.7596","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/40:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCCC\C=C/C\C=C/CCOC(=O)CCCCCCC\C=C/C\C=C/CCC;YQYQVNDBOHKLSD-MQTBIIKQNA-N;C54H97NO5","840.74395","208.206","822.7334","804.7228","840.744","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/41:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;PHTHZMQZKZGWJA-HPVLHQIINA-N;C55H107NO5","862.82220","208.206","844.8116","826.8011","862.8222","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/41:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC\C=C/CCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;ZHYGPCNPVXDXTF-AXYGVBBYNA-N;C55H105NO5","860.80655","208.206","842.796","824.7854","860.8066","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/41:3;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCC\C=C/CCCCCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;LPMROBCQNLJVHJ-MDRJRFKZNA-N;C55H103NO5","858.79090","208.206","840.7803","822.7698","858.7909","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/41:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCCC;IGRXUAQASMIOLR-BISICAETNA-N;C55H101NO5","856.77525","208.206","838.7647","820.7541","856.7753","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/41:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCCCCCCC\C=C/C\C=C/CCOC(=O)CCCCCCC\C=C/C\C=C/CCCC;XGBJUGMEFMWXPL-VJXQFKTQNA-N;C55H99NO5","854.75960","208.206","836.749","818.7385","854.7596","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/42:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;CJOCKNVPCFZFSE-OLJFJFLZNA-N;C56H109NO5","876.83785","208.206","858.8273","840.8167","876.8378","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/42:2;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC\C=C/CCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;MRUSEVXGRDYWNU-JHKBYTLHNA-N;C56H107NO5","874.82220","208.206","856.8116","838.8011","874.8222","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/42:3;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;VUDYWPJTDMHTLA-ZJMKKOQANA-N;C56H105NO5","872.80655","208.206","854.796","836.7854","872.8066","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/42:4;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/CCCC;IOCKLPCRDRAFIP-IOCOXGDDNA-N;C56H103NO5","870.79090","208.206","852.7803","834.7698","870.7909","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/42:5;2O;[M+H]+;CCCCCCCCC\C=C\C(O)C(CO)NC(=O)CCCCCCCCC\C=C/C\C=C/CCCCCCCCCCCOC(=O)CCCCCCC\C=C/C\C=C/CCC;PWRJXSJFPAYLAR-WWLZEMPWNA-N;C56H101NO5","868.77525","208.206","850.7647","832.7541","868.7753","196.206","226.2166"
"MSDIAL_Cer 14:1;2O/43:1;2O;[M+H]+;CCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)NC(CO)C(O)\C=C\CCCCCCCCC;ZUODCFWAUNTFKI-ITDLOOOYNA-N;C57H111NO5","890.85350","208.206","872.843","854.8323","890.8535","196.206","226.2166"
