OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-nH2O2]+,[M+H-nH2O-R1COOH]+,[M+H-nH2O-R2COOH]+,[M+H-nH2O-R3COOH]+,[M+H-nH2O2-R1COOH]+,[M+H-nH2O2-R2COOH]+,[M+H-nH2O2-R3COOH]+
OxTG(18:2_20:4_18:2(OOH))+NH4,952.7600104,899.7123204,901.7279704,637.4826604,613.4826604,623.5033704,621.4877504,597.4877504,623.5033704
OxTG(18:2_20:5_20:4(OOH))+NH4,974.7444104,921.6967204,923.7123704,659.4670604,637.4826604,621.4877704,643.4721504,621.4877504,621.4877704
OxTG(18:2_20:5_18:2(OOH))+NH4,950.7444104,897.6967204,899.7123704,635.4670604,613.4826604,621.4877704,619.4721504,597.4877504,621.4877704
OxTG(18:2_22:5_20:4(OOH))+NH4,1002.77571,949.7280204,951.7436704,687.4983604,637.4826604,649.5190704,671.5034504,621.4877504,649.5190704
OxTG(18:2_22:5_18:2(OOH))+NH4,978.7757104,925.7280204,927.7436704,663.4983604,613.4826604,649.5190704,647.5034504,597.4877504,649.5190704
OxTG(18:2_22:6_20:4(OOH))+NH4,1000.76001,947.7123204,949.7279704,685.4826604,637.4826604,647.5033704,669.4877504,621.4877504,647.5033704
OxTG(18:2_22:6_18:2(OOH))+NH4,976.7600104,923.7123204,925.7279704,661.4826604,613.4826604,647.5033704,645.4877504,597.4877504,647.5033704
OxTG(18:3_18:3_20:4(OOH))+NH4,948.7288104,895.6811204,897.6967704,635.4670604,635.4670604,595.4721704,619.4721504,619.4721504,595.4721704
OxTG(18:3_18:3_18:2(OOH))+NH4,924.7288104,871.6811204,873.6967704,611.4670604,611.4670604,595.4721704,595.4721504,595.4721504,595.4721704
OxTG(18:3_18:4_20:4(OOH))+NH4,946.7131104,893.6654204,895.6810704,633.4513604,635.4670604,593.4564704,617.4564504,619.4721504,593.4564704
OxTG(18:3_18:4_18:2(OOH))+NH4,922.7131104,869.6654204,871.6810704,609.4513604,611.4670604,593.4564704,593.4564504,595.4721504,593.4564704
OxTG(18:3_20:4_20:4(OOH))+NH4,974.7444104,921.6967204,923.7123704,661.4826604,635.4670604,621.4877704,645.4877504,619.4721504,621.4877704
OxTG(18:3_20:4_18:2(OOH))+NH4,950.7444104,897.6967204,899.7123704,637.4826604,611.4670604,621.4877704,621.4877504,595.4721504,621.4877704
OxTG(18:3_20:5_20:4(OOH))+NH4,972.7288104,919.6811204,921.6967704,659.4670604,635.4670604,619.4721704,643.4721504,619.4721504,619.4721704
OxTG(18:3_20:5_18:2(OOH))+NH4,948.7288104,895.6811204,897.6967704,635.4670604,611.4670604,619.4721704,619.4721504,595.4721504,619.4721704
OxTG(18:3_22:5_20:4(OOH))+NH4,1000.76011,947.7124204,949.7280704,687.4983604,635.4670604,647.5034704,671.5034504,619.4721504,647.5034704
OxTG(18:3_22:5_18:2(OOH))+NH4,976.7601104,923.7124204,925.7280704,663.4983604,611.4670604,647.5034704,647.5034504,595.4721504,647.5034704
OxTG(18:3_22:6_20:4(OOH))+NH4,998.7444104,945.6967204,947.7123704,685.4826604,635.4670604,645.4877704,669.4877504,619.4721504,645.4877704
OxTG(18:3_22:6_18:2(OOH))+NH4,974.7444104,921.6967204,923.7123704,661.4826604,611.4670604,645.4877704,645.4877504,595.4721504,645.4877704
