"MSDIAL_OxPC","[M+CH3COO]-","1","2","3","4","5","6","7"
"MSDIAL_PC 18:0_20:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;QPFVDVPFNFNLBG-LFPZVBBZNA-N;C46H80NO9P","880.57092","806.5336","283.2635","315.1966","880.5709","224.0693","1","1"
"MSDIAL_PC 18:0_20:5;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;QVEOEBDPDRJRPF-IQDBVUNMNA-N;C46H82NO10P","898.58149","315.1966","824.5442","283.2635","297.186","333.2071","898.5815","224.0693"
"MSDIAL_PC 18:0_20:5;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;KNMNGMSGDJRFLI-IGYJEKOXNA-N;C46H82NO11P","914.57640","840.5391","283.2635","313.1809","331.1915","914.5764","224.0693","349.2021"
"MSDIAL_PC 18:0_20:5;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;WASQESWTHUKKSW-KKNZMDGONA-N;C46H82NO11P","914.57640","840.5391","283.2635","914.5764","224.0693","331.1915","349.2021","1"
"MSDIAL_PC 18:0_20:5;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;BFHVDMPNBRTZMN-KKNZMDGONA-N;C46H82NO12P","930.57132","856.534","283.2635","347.1864","329.1758","930.5714","224.0693","365.197"
"MSDIAL_PC 18:0_22:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;ORDQUMWHJBKZBE-BWHMUZKANA-N;C48H84NO9P","908.60222","834.5649","283.2635","343.2279","908.6022","224.0693","1","1"
"MSDIAL_PC 18:0_22:5;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;NLGQYJAUSYJKLW-BWHMUZKANA-N;C48H86NO10P","926.61279","343.2279","852.5754","283.2635","325.2173","361.2384","926.6128","224.0693"
"MSDIAL_PC 18:0_22:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\C\C=C/C(C)O;VNFHMQPMQGUBBN-UGWBQZEHNA-N;C48H84NO9P","908.60222","834.5649","283.2635","325.2173","908.6022","224.0693","343.2279","1"
"MSDIAL_PC 18:0_22:6;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C=C/C(O)C\C=C\C\C=C/C(C)O;XMLIUDDWEBMLFC-URHZTNOLNA-N;C48H84NO10P","924.59714","341.2122","850.5598","283.2635","323.2017","359.2228","924.5972","224.0693"
"MSDIAL_PC 18:0_22:6;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\CC(O)\C=C\C=C\C=C/C=C/C(O)C(O)C\C=C/CC;NPOJNPHYDGVXFQ-GJOPUNGXNA-N;C48H84NO11P","940.59205","866.5547","283.2635","339.1966","357.2072","940.592","224.0693","375.2177"
