"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","RT at Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Number of Scans","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Max Intensity","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Average m/z","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGTS","[M+H]+","C10H21NO5H","C7H14NO2","RT_min","RT_max","Comment"
"","DGTS(39:1)+H",0,0,0,"11.9638944444444","12.2638944444444","3262","","DGTS(39:1)+H",0,0,0,"11.9638944444444","12.2638944444444","3262","","DGTS(39:1)+H",0,0,0,"11.9638944444444","12.2638944444444","3262","","DGTS(39:1)+H",0,0,0,"11.9638944444444","12.2638944444444","3262","","DGTS(39:1)+H",0,0,0,"11.9638944444444","12.2638944444444","3262","","DGTS(39:1)+H","808.7025","236.1492","144.1019","11.9638944444444","12.2638944444444","3262"
"","DGTS(39:1)+H",0,0,0,"10.5318652777778","10.8318652777778","7588","","DGTS(39:1)+H",0,0,0,"10.5318652777778","10.8318652777778","7588","","DGTS(39:1)+H",0,0,0,"10.5318652777778","10.8318652777778","7588","","DGTS(39:1)+H",0,0,0,"10.5318652777778","10.8318652777778","7588","","DGTS(39:1)+H",0,0,0,"10.5318652777778","10.8318652777778","7588","","DGTS(39:1)+H","808.7025","236.1492","144.1019","10.5318652777778","10.8318652777778","7588"
"","DGTS(39:1)+H",0,0,0,"10.8224305555556","11.1224305555556","17116","","DGTS(39:1)+H",0,0,0,"10.8224305555556","11.1224305555556","17116","","DGTS(39:1)+H",0,0,0,"10.8224305555556","11.1224305555556","17116","","DGTS(39:1)+H",0,0,0,"10.8224305555556","11.1224305555556","17116","","DGTS(39:1)+H",0,0,0,"10.8224305555556","11.1224305555556","17116","","DGTS(39:1)+H","808.7025","236.1492","144.1019","10.8224305555556","11.1224305555556","17116"
"","DGTS(39:2)+H",0,0,0,"11.3155944444444","11.6155944444444","4763","","DGTS(39:2)+H",0,0,0,"11.3155944444444","11.6155944444444","4763","","DGTS(39:2)+H",0,0,0,"11.3155944444444","11.6155944444444","4763","","DGTS(39:2)+H",0,0,0,"11.3155944444444","11.6155944444444","4763","","DGTS(39:2)+H",0,0,0,"11.3155944444444","11.6155944444444","4763","","DGTS(39:2)+H","806.6868","236.1492","144.1019","11.3155944444444","11.6155944444444","4763"
"","DGTS(39:2)+H",0,0,0,"11.5297125","11.8297125","16698","","DGTS(39:2)+H",0,0,0,"11.5297125","11.8297125","16698","","DGTS(39:2)+H",0,0,0,"11.5297125","11.8297125","16698","","DGTS(39:2)+H",0,0,0,"11.5297125","11.8297125","16698","","DGTS(39:2)+H",0,0,0,"11.5297125","11.8297125","16698","","DGTS(39:2)+H","806.6868","236.1492","144.1019","11.5297125","11.8297125","16698"
"","DGTS(35:7)+H",0,0,0,"4.47600555555556","4.77600555555556","5796","","DGTS(35:7)+H",0,0,0,"4.47600555555556","4.77600555555556","5796","","DGTS(35:7)+H",0,0,0,"4.47600555555556","4.77600555555556","5796","","DGTS(35:7)+H",0,0,0,"4.47600555555556","4.77600555555556","5796","","DGTS(35:7)+H",0,0,0,"4.47600555555556","4.77600555555556","5796","","DGTS(35:7)+H","740.546","236.1492","144.1019","4.47600555555556","4.77600555555556","5796"
"","DGTS(39:3)+H",0,0,0,"9.10679696969697","9.40679696969697","14357","","DGTS(39:3)+H",0,0,0,"9.10679696969697","9.40679696969697","14357","","DGTS(39:3)+H",0,0,0,"9.10679696969697","9.40679696969697","14357","","DGTS(39:3)+H",0,0,0,"9.10679696969697","9.40679696969697","14357","","DGTS(39:3)+H",0,0,0,"9.10679696969697","9.40679696969697","14357","","DGTS(39:3)+H","804.6712","236.1492","144.1019","9.10679696969697","9.40679696969697","14357"
"","DGTS(40:2)+H",0,0,0,"9.8760180555556","10.1760180555556","7595","","DGTS(40:2)+H",0,0,0,"9.8760180555556","10.1760180555556","7595","","DGTS(40:2)+H",0,0,0,"9.8760180555556","10.1760180555556","7595","","DGTS(40:2)+H",0,0,0,"9.8760180555556","10.1760180555556","7595","","DGTS(40:2)+H",0,0,0,"9.8760180555556","10.1760180555556","7595","","DGTS(40:2)+H","820.7025","236.1492","144.1019","9.8760180555556","10.1760180555556","7595"
"","DGTS(41:0)+H",0,0,0,"11.9822805555556","12.2822805555556","4983","","DGTS(41:0)+H",0,0,0,"11.9822805555556","12.2822805555556","4983","","DGTS(41:0)+H",0,0,0,"11.9822805555556","12.2822805555556","4983","","DGTS(41:0)+H",0,0,0,"11.9822805555556","12.2822805555556","4983","","DGTS(41:0)+H",0,0,0,"11.9822805555556","12.2822805555556","4983","","DGTS(41:0)+H","838.7495","236.1492","144.1019","11.9822805555556","12.2822805555556","4983"
"","DGTS(41:0)+H",0,0,0,"11.5730194444444","11.8730194444444","6223","","DGTS(41:0)+H",0,0,0,"11.5730194444444","11.8730194444444","6223","","DGTS(41:0)+H",0,0,0,"11.5730194444444","11.8730194444444","6223","","DGTS(41:0)+H",0,0,0,"11.5730194444444","11.8730194444444","6223","","DGTS(41:0)+H",0,0,0,"11.5730194444444","11.8730194444444","6223","","DGTS(41:0)+H","838.7495","236.1492","144.1019","11.5730194444444","11.8730194444444","6223"
