"MSDIAL_EtherOxPC","[M+CH3COO]-","1","2","3","4","5","6","7","8"
"MSDIAL_PC O-18:0_20:4;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;XBJQFUXUTOZCDO-MKTBAZKENA-N;C46H86NO11P","918.60770","367.2126","844.5704","331.1915","349.2021","918.6077","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:4;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;HVQRRXXMNPFLEX-VFFIVXFYNA-N;C46H86NO11P","918.60770","367.2126","844.5704","331.1915","349.2021","918.6077","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;GKJPSTPDVHMNSU-QJUNXMRINA-N;C46H84NO8P","868.60731","317.2122","794.57","299.2017","868.6073","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:6;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;HUMBKCINTZGSER-BFIAJWFANA-N;C46H82NO8P","866.59166","315.1966","792.5543","866.5917","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_20:5;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;WTMANLWHJIOOPF-POLMGZIWNA-N;C46H84NO9P","884.60222","333.2071","810.5649","297.186","315.1966","884.6022","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:5;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;CQLDFIVVOWCSIR-RSMWZLNWNA-N;C46H84NO10P","900.59714","349.2021","826.5598","313.1809","331.1915","900.5972","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_20:5;3O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;GINYMPLUXFUOHA-MKTBAZKENA-N;C46H84NO10P","900.59714","349.2021","826.5598","331.1915","900.5972","476.3499","494.3605","224.0693","1"
"MSDIAL_PC O-18:0_20:5;4O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;MDAVMZJGMUMDIS-MKTBAZKENA-N;C46H84NO11P","916.59205","365.197","842.5547","329.1758","347.1864","916.592","476.3499","494.3605","224.0693"
"MSDIAL_PC O-18:0_22:5;O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC1OC1CC;BDNRTLPRFSGRJY-PUGBTSHUNA-N;C48H86NO8P","894.62296","343.2279","820.5856","894.623","476.3499","494.3605","224.0693","1","1"
"MSDIAL_PC O-18:0_22:5;2O;[M+CH3COO]-;CCCCCCCCCCCCCCCCCCOCC(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C\C\C=C\C\C=C\C\C=C\C\C=C\CC(O)C(O)CC;VPJPHJDNWJCUJO-PUGBTSHUNA-N;C48H88NO9P","912.63352","361.2384","838.5962","325.2173","343.2279","912.6335","476.3499","494.3605","224.0693"
