DLCL-BPMlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T3_RCOO-,LPA(R1),LPA(R1)+56,LPA(R1)+136,LPA(R1)+56+18,LPA(R3),LPA(R3)+56,LPA(R3)+136,LPA(R3)+56+18
DLCL-BMPlike(12:0_20:0)-H,875.505618,152.995833,171.006398,199.170354,311.295554,353.173463,409.199677,489.166008,427.210242,465.298663,521.324877,601.291208,539.335442
DLCL-BMPlike(12:0_20:1)-H,873.489968,152.995833,171.006398,199.170354,309.279904,353.173463,409.199677,489.166008,427.210242,463.283013,519.309227,599.275558,537.319792
DLCL-BMPlike(12:0_20:2)-H,871.474318,152.995833,171.006398,199.170354,307.264254,353.173463,409.199677,489.166008,427.210242,461.267363,517.293577,597.259908,535.304142
DLCL-BMPlike(12:0_20:3)-H,869.458668,152.995833,171.006398,199.170354,305.248604,353.173463,409.199677,489.166008,427.210242,459.251713,515.277927,595.244258,533.288492
DLCL-BMPlike(12:0_20:4)-H,867.443018,152.995833,171.006398,199.170354,303.232954,353.173463,409.199677,489.166008,427.210242,457.236063,513.262277,593.228608,531.272842
DLCL-BMPlike(12:0_20:5)-H,865.427368,152.995833,171.006398,199.170354,301.217304,353.173463,409.199677,489.166008,427.210242,455.220413,511.246627,591.212958,529.257192
DLCL-BMPlike(12:0_21:0)-H,889.521268,152.995833,171.006398,199.170354,325.311204,353.173463,409.199677,489.166008,427.210242,479.314313,535.340527,615.306858,553.351092
DLCL-BMPlike(12:0_22:0)-H,903.536918,152.995833,171.006398,199.170354,339.326854,353.173463,409.199677,489.166008,427.210242,493.329963,549.356177,629.322508,567.366742
DLCL-BMPlike(12:0_22:1)-H,901.521268,152.995833,171.006398,199.170354,337.311204,353.173463,409.199677,489.166008,427.210242,491.314313,547.340527,627.306858,565.351092
DLCL-BMPlike(12:0_22:2)-H,899.505618,152.995833,171.006398,199.170354,335.295554,353.173463,409.199677,489.166008,427.210242,489.298663,545.324877,625.291208,563.335442
DLCL-BMPlike(12:0_22:3)-H,897.489968,152.995833,171.006398,199.170354,333.279904,353.173463,409.199677,489.166008,427.210242,487.283013,543.309227,623.275558,561.319792
DLCL-BMPlike(12:0_22:4)-H,895.474318,152.995833,171.006398,199.170354,331.264254,353.173463,409.199677,489.166008,427.210242,485.267363,541.293577,621.259908,559.304142
DLCL-BMPlike(12:0_22:5)-H,893.458668,152.995833,171.006398,199.170354,329.248604,353.173463,409.199677,489.166008,427.210242,483.251713,539.277927,619.244258,557.288492
DLCL-BMPlike(12:0_22:6)-H,891.443018,152.995833,171.006398,199.170354,327.232954,353.173463,409.199677,489.166008,427.210242,481.236063,537.262277,617.228608,555.272842
DLCL-BMPlike(12:0_23:0)-H,917.552568,152.995833,171.006398,199.170354,353.342504,353.173463,409.199677,489.166008,427.210242,507.345613,563.371827,643.338158,581.382392
DLCL-BMPlike(12:0_24:0)-H,931.568218,152.995833,171.006398,199.170354,367.358154,353.173463,409.199677,489.166008,427.210242,521.361263,577.387477,657.353808,595.398042
DLCL-BMPlike(12:0_24:1)-H,929.552568,152.995833,171.006398,199.170354,365.342504,353.173463,409.199677,489.166008,427.210242,519.345613,575.371827,655.338158,593.382392
DLCL-BMPlike(12:0_25:0)-H,945.583868,152.995833,171.006398,199.170354,381.373804,353.173463,409.199677,489.166008,427.210242,535.376913,591.403127,671.369458,609.413692
DLCL-BMPlike(12:0_26:0)-H,959.599518,152.995833,171.006398,199.170354,395.389454,353.173463,409.199677,489.166008,427.210242,549.392563,605.418777,685.385108,623.429342
DLCL-BMPlike(13:0_8:0)-H,721.333467,152.995833,171.006398,213.186004,143.107753,367.189113,423.215327,503.181658,441.225892,297.110862,353.137076,433.103407,371.147641
DLCL-BMPlike(13:0_10:0)-H,749.364768,152.995833,171.006398,213.186004,171.139054,367.189113,423.215327,503.181658,441.225892,325.142163,381.168377,461.134708,399.178942
DLCL-BMPlike(13:0_12:0)-H,777.396068,152.995833,171.006398,213.186004,199.170354,367.189113,423.215327,503.181658,441.225892,353.173463,409.199677,489.166008,427.210242
DLCL-BMPlike(13:0_13:0)-H,791.411718,152.995833,171.006398,213.186004,213.186004,367.189113,423.215327,503.181658,441.225892,367.189113,423.215327,503.181658,441.225892
DLCL-BMPlike(13:0_14:0)-H,805.427368,152.995833,171.006398,213.186004,227.201654,367.189113,423.215327,503.181658,441.225892,381.204763,437.230977,517.197308,455.241542
DLCL-BMPlike(13:0_14:1)-H,803.411718,152.995833,171.006398,213.186004,225.186004,367.189113,423.215327,503.181658,441.225892,379.189113,435.215327,515.181658,453.225892
DLCL-BMPlike(13:0_15:0)-H,819.443018,152.995833,171.006398,213.186004,241.217304,367.189113,423.215327,503.181658,441.225892,395.220413,451.246627,531.212958,469.257192
DLCL-BMPlike(13:0_15:1)-H,817.427368,152.995833,171.006398,213.186004,239.201654,367.189113,423.215327,503.181658,441.225892,393.204763,449.230977,529.197308,467.241542
DLCL-BMPlike(13:0_16:0)-H,833.458668,152.995833,171.006398,213.186004,255.232954,367.189113,423.215327,503.181658,441.225892,409.236063,465.262277,545.228608,483.272842
DLCL-BMPlike(13:0_16:1)-H,831.443018,152.995833,171.006398,213.186004,253.217304,367.189113,423.215327,503.181658,441.225892,407.220413,463.246627,543.212958,481.257192
DLCL-BMPlike(13:0_16:2)-H,829.427368,152.995833,171.006398,213.186004,251.201654,367.189113,423.215327,503.181658,441.225892,405.204763,461.230977,541.197308,479.241542
DLCL-BMPlike(13:0_16:3)-H,827.411718,152.995833,171.006398,213.186004,249.186004,367.189113,423.215327,503.181658,441.225892,403.189113,459.215327,539.181658,477.225892
DLCL-BMPlike(13:0_16:4)-H,825.396068,152.995833,171.006398,213.186004,247.170354,367.189113,423.215327,503.181658,441.225892,401.173463,457.199677,537.166008,475.210242
DLCL-BMPlike(13:0_17:0)-H,847.474318,152.995833,171.006398,213.186004,269.248604,367.189113,423.215327,503.181658,441.225892,423.251713,479.277927,559.244258,497.288492
DLCL-BMPlike(13:0_17:1)-H,845.458668,152.995833,171.006398,213.186004,267.232954,367.189113,423.215327,503.181658,441.225892,421.236063,477.262277,557.228608,495.272842
DLCL-BMPlike(13:0_17:2)-H,843.443018,152.995833,171.006398,213.186004,265.217304,367.189113,423.215327,503.181658,441.225892,419.220413,475.246627,555.212958,493.257192
DLCL-BMPlike(13:0_18:0)-H,861.489968,152.995833,171.006398,213.186004,283.264254,367.189113,423.215327,503.181658,441.225892,437.267363,493.293577,573.259908,511.304142
DLCL-BMPlike(13:0_18:1)-H,859.474318,152.995833,171.006398,213.186004,281.248604,367.189113,423.215327,503.181658,441.225892,435.251713,491.277927,571.244258,509.288492
DLCL-BMPlike(13:0_18:2)-H,857.458668,152.995833,171.006398,213.186004,279.232954,367.189113,423.215327,503.181658,441.225892,433.236063,489.262277,569.228608,507.272842
DLCL-BMPlike(13:0_18:3)-H,855.443018,152.995833,171.006398,213.186004,277.217304,367.189113,423.215327,503.181658,441.225892,431.220413,487.246627,567.212958,505.257192
DLCL-BMPlike(13:0_18:4)-H,853.427368,152.995833,171.006398,213.186004,275.201654,367.189113,423.215327,503.181658,441.225892,429.204763,485.230977,565.197308,503.241542
DLCL-BMPlike(13:0_18:4)-H,851.411718,152.995833,171.006398,213.186004,273.186004,367.189113,423.215327,503.181658,441.225892,427.189113,483.215327,563.181658,501.225892
DLCL-BMPlike(13:0_19:0)-H,875.505618,152.995833,171.006398,213.186004,297.279904,367.189113,423.215327,503.181658,441.225892,451.283013,507.309227,587.275558,525.319792
