"MSDIAL_CerP","[M+H]+","1","2","3","4","5","6"
"MSDIAL_CerP 16:0;2O/2:0;[M+H]+;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;KJAOAPLEMBCWSJ-ZWKOTPCHSA-N;C18H38NO6P","396.25150","396.2515","238.2533","378.2409","280.264","298.2746","316.2852"
"MSDIAL_CerP 16:0;2O/10:0;[M+H]+;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;DFVXOPPDFFUOGX-LOSJGSFVSA-N;C26H54NO6P","508.37669","508.3767","238.2533","490.3661","392.3892","410.3998","428.4104"
"MSDIAL_CerP 16:0;2O/12:0;[M+H]+;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;MWGSTLLNNLVYOW-RRPNLBNLSA-N;C28H58NO6P","536.40797","536.408","238.2533","518.3974","420.4205","438.4311","456.4417"
"MSDIAL_CerP 16:0;2O/14:0;[M+H]+;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC;AQMMWVRPVCEIOJ-URLMMPGGSA-N;C30H62NO6P","564.43928","564.4393","238.2533","546.4287","448.4518","466.4624","484.473"
"MSDIAL_CerP 16:0;2O/16:0;[M+H]+;CCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;SLIWWQJRFCVIHT-IOWSJCHKSA-N;C32H66NO6P","592.47059","592.4706","238.2533","574.46","476.4831","494.4937","512.5043"
"MSDIAL_CerP 16:0;2O/18:0;[M+H]+;CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;QOMYDEYHMLBWBF-JHOUSYSJSA-N;C34H70NO6P","620.50190","620.5019","238.2533","602.4913","504.5144","522.525","540.5356"
"MSDIAL_CerP 16:0;2O/18:1;[M+H]+;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCC\C=C/CCCCCCCC;DOCWTQZYUPFANU-XFXDHMIVSA-N;C34H68NO6P","618.48627","618.4863","238.2533","600.4757","502.4988","520.5094","538.52"
"MSDIAL_CerP 16:0;2O/20:0;[M+H]+;CCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;YFDBUVNILGPHPO-OIDHKYIRSA-N;C36H74NO6P","648.53321","648.5332","238.2533","630.5226","532.5458","550.5563","568.5669"
"MSDIAL_CerP 16:0;2O/22:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;URLGWOBNQKRVER-PQQNNWGCSA-N;C38H78NO6P","676.56452","676.5645","238.2533","658.554","560.5771","578.5876","596.5982"
"MSDIAL_CerP 16:0;2O/24:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;HYNYZBBODLLSBS-ZESVVUHVSA-N;C40H82NO6P","704.59577","704.5958","238.2533","686.5852","588.6083","606.6189","624.6295"
"MSDIAL_CerP 16:0;2O/24:1;[M+H]+;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCC\C=C/CCCCCCCC;JMPRPKCNIUTCOE-YVYQSDBGSA-N;C40H80NO6P","702.58015","702.5801","238.2533","684.5696","586.5927","604.6033","622.6138"
"MSDIAL_CerP 16:0;2O/24:4;[M+H]+;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCCCC;DTPROJQEUIGVKN-NBNYJPEFSA-N;C40H74NO6P","696.53321","696.5332","238.2533","678.5226","580.5458","598.5563","616.5669"
"MSDIAL_CerP 16:0;2O/26:0;[M+H]+;CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(O)(O)=O)[C@H](O)CCCCCCCCCCCCC;SWPITKYJXTVYOD-WVILEFPPSA-N;C42H86NO6P","732.62708","732.6271","238.2533","714.6165","616.6396","634.6502","652.6608"
"MSDIAL_CerP 16:0;2O/26:1;[M+H]+;CCCCCCCCCCCCC[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCCCCCC\C=C/CCCCCCCC;SRSXOHALPUGHBS-USSLIDLSSA-N;C42H84NO6P","730.61146","730.6115","238.2533","712.6009","614.624","632.6346","650.6451"
"MSDIAL_CerP 16:1;2O/2:0;[M+H]+;CCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(C)=O;OSSQSTMTBCYYGJ-DPYIKZRWSA-N;C18H36NO6P","394.23585","394.2358","236.2377","376.2253","278.2484","296.2589","314.2695"
"MSDIAL_CerP 16:1;2O/10:0;[M+H]+;CCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCC;QUGOANHIPDKHMR-WRBRXSDHSA-N;C26H52NO6P","506.36103","506.361","236.2377","488.3505","390.3736","408.3841","426.3947"
"MSDIAL_CerP 16:1;2O/12:0;[M+H]+;CCCCCCCCCCC\C=C\[C@@H](O)[C@H](COP(O)(O)=O)NC(=O)CCCCCCCCCCC;GDZMVRFCMMPKCS-NBNLIBPQSA-N;C28H56NO6P","534.39234","534.3923","236.2377","516.3818","418.4049","436.4154","454.426"
