"MSDIAL_OxPI","[M-H]-","1","2","3","4","5","6","7"
"MSDIAL_PI 18:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)C(O)\C=C/C=C\C=C\C=C/C(O)CCCCC;YOCDSAAJVRZKPO-RMRKXKOXNA-N;C47H83O16P","933.53460","933.5346","315.1966","333.2072","241.0119","283.2635","297.0381","351.2177"
"MSDIAL_PI 18:0_20:4;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)CCCCC;NAXYJEUMONERFN-SZXPTWDZNA-N;C47H83O16P","933.53460","933.5346","333.2072","241.0119","283.2635","297.0381","351.2177","1"
"MSDIAL_PI 18:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C(O)CC(O)OC1\C=C\C(O)C\C=C/CC;VCGPWBGAYUBXOZ-UJNQZSPMNA-N;C47H83O17P","949.52951","949.5295","331.1915","349.2021","241.0119","283.2635","297.0381","367.2126"
"MSDIAL_PI 18:0_20:4;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(CCCCC)OO;RSJHYTDMKJUCIQ-SZXPTWDZNA-N;C47H83O17P","949.52951","949.5295","331.1915","349.2021","241.0119","283.2635","297.0381","367.2126"
"MSDIAL_PI 18:0_20:5;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C/C\C=C/C\C=C/C\C=C/CC;RNNQOKPIPFWEEX-OWUFSUKINA-N;C47H81O14P","899.52912","899.5291","299.2017","241.0119","283.2635","297.0381","317.2122","1"
"MSDIAL_PI 18:0_20:6;O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC1OC1\C=C\C=C\C=C/C\C=C/C\C=C/CC;SAOPAIZGMIOVNG-GTJZUOQONA-N;C47H79O14P","897.51347","897.5135","241.0119","283.2635","297.0381","315.1966","1","1"
"MSDIAL_PI 18:0_20:5;2O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C\C=C/CC;JMICORYFRGYZNE-YDAWSWDDNA-N;C47H81O15P","915.52403","915.524","297.186","315.1966","241.0119","283.2635","297.0381","333.2071"
"MSDIAL_PI 18:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCC(O)\C=C\C=C/C=C/C(O)C\C=C/C=C/C(O)CC;NLCJVEQNJLCPKT-STPXBLHJNA-N;C47H81O16P","931.51895","931.5189","313.1809","331.1915","241.0119","283.2635","297.0381","349.2021"
"MSDIAL_PI 18:0_20:5;3O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(O)C\C=C/CC;VWVOTMNTNMPZPX-UJNQZSPMNA-N;C47H81O16P","931.51895","931.5189","331.1915","241.0119","283.2635","297.0381","349.2021","1"
"MSDIAL_PI 18:0_20:5;4O;[M-H]-;CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/CC1C2CC(OO2)C1\C=C\C(C\C=C/CC)OO;RMZQGYMBHUYMQH-UJNQZSPMNA-N;C47H81O17P","947.51386","947.5139","329.1758","347.1864","241.0119","283.2635","297.0381","365.197"
