OxTG,[M+NH4]+,[M+H-nH2O]+,[M+H-R1COOH]+,[M+H-R2COOH]+,[M+H-R3COOH]+
OxTG(14:0_16:0_20:2(Ke_or_Epoxy))+NH4,862.7494504,827.7123304,617.5139764,589.4826764,523.4720764
OxTG(14:0_16:0_20:3(Ke_or_Epoxy))+NH4,860.7338504,825.6967304,615.4983764,587.4670764,523.4720764
OxTG(14:0_16:0_20:5(Ke_or_Epoxy))+NH4,856.7025504,821.6654304,611.4670764,583.4357764,523.4720764
OxTG(14:0_16:0_22:1(Ke_or_Epoxy))+NH4,892.7964504,857.7593304,647.5609764,619.5296764,523.4720764
OxTG(14:0_16:0_22:2(Ke_or_Epoxy))+NH4,890.7807504,855.7436304,645.5452764,617.5139764,523.4720764
OxTG(14:0_16:0_22:3(Ke_or_Epoxy))+NH4,888.7651504,853.7280304,643.5296764,615.4983764,523.4720764
OxTG(14:0_16:0_22:4(Ke_or_Epoxy))+NH4,886.7494504,851.7123304,641.5139764,613.4826764,523.4720764
OxTG(14:0_16:0_22:5(Ke_or_Epoxy))+NH4,884.7338504,849.6967304,639.4983764,611.4670764,523.4720764
OxTG(14:0_16:0_22:6(Ke_or_Epoxy))+NH4,882.7181504,847.6810304,637.4826764,609.4513764,523.4720764
OxTG(14:0_16:0_24:1(Ke_or_Epoxy))+NH4,920.8277504,885.7906304,675.5922764,647.5609764,523.4720764
OxTG(14:0_16:1_14:1(Ke_or_Epoxy))+NH4,778.6556504,743.6185304,533.4201764,507.4044764,521.4564764
OxTG(14:0_16:1_15:1(Ke_or_Epoxy))+NH4,792.6712504,757.6341304,547.4357764,521.4200764,521.4564764
OxTG(14:0_16:1_16:1(Ke_or_Epoxy))+NH4,806.6869504,771.6498304,561.4514764,535.4357764,521.4564764
OxTG(14:0_16:1_17:1(Ke_or_Epoxy))+NH4,820.7025504,785.6654304,575.4670764,549.4513764,521.4564764
OxTG(14:0_16:1_17:2(Ke_or_Epoxy))+NH4,818.6869504,783.6498304,573.4514764,547.4357764,521.4564764
OxTG(14:0_16:1_18:1(Ke_or_Epoxy))+NH4,834.7182504,799.6811304,589.4827764,563.4670764,521.4564764
OxTG(14:0_16:1_18:2(Ke_or_Epoxy))+NH4,832.7025504,797.6654304,587.4670764,561.4513764,521.4564764
OxTG(14:0_16:1_18:3(Ke_or_Epoxy))+NH4,830.6869504,795.6498304,585.4514764,559.4357764,521.4564764
OxTG(14:0_16:1_18:4(Ke_or_Epoxy))+NH4,828.6712504,793.6341304,583.4357764,557.4200764,521.4564764
OxTG(14:0_16:1_20:1(Ke_or_Epoxy))+NH4,862.7495504,827.7124304,617.5140764,591.4983764,521.4564764
OxTG(14:0_16:1_20:2(Ke_or_Epoxy))+NH4,860.7338504,825.6967304,615.4983764,589.4826764,521.4564764
OxTG(14:0_16:1_20:3(Ke_or_Epoxy))+NH4,858.7182504,823.6811304,613.4827764,587.4670764,521.4564764
OxTG(14:0_16:1_20:5(Ke_or_Epoxy))+NH4,854.6869504,819.6498304,609.4514764,583.4357764,521.4564764
