DLCL-PGlike,[M-H]-, Glycerol-3-phosphate_NLH2O, Glycerol-3-phosphate,T1_RCOO-,T2_RCOO-,PA(R1+R2),PA(R1+R2)-NL_T1RCOOH,PA(R1+R2)-NL_T2RCOOH,PA(R1+R2)-NL_T1Ketene,PA(R1+R2)-NL_T2Ketene,PA(R1+R2)+56,PA(R1+R2)+136,PA(R1+R2)+56+18
DLCL-PGlike(13:0_15:0)-H,819.443018,152.995833,171.006398,213.186004,241.217304,591.403129,377.209849,349.178549,395.220414,367.189114,647.429343,727.395674,665.439908
DLCL-PGlike(13:0_15:1)-H,817.427368,152.995833,171.006398,213.186004,239.201654,589.387479,375.194199,349.178549,393.204764,367.189114,645.413693,725.380024,663.424258
DLCL-PGlike(13:0_16:0)-H,833.458668,152.995833,171.006398,213.186004,255.232954,605.418779,391.225499,349.178549,409.236064,367.189114,661.444993,741.411324,679.455558
DLCL-PGlike(13:0_16:1)-H,831.443018,152.995833,171.006398,213.186004,253.217304,603.403129,389.209849,349.178549,407.220414,367.189114,659.429343,739.395674,677.439908
DLCL-PGlike(13:0_16:2)-H,829.427368,152.995833,171.006398,213.186004,251.201654,601.387479,387.194199,349.178549,405.204764,367.189114,657.413693,737.380024,675.424258
DLCL-PGlike(13:0_16:3)-H,827.411718,152.995833,171.006398,213.186004,249.186004,599.371829,385.178549,349.178549,403.189114,367.189114,655.398043,735.364374,673.408608
DLCL-PGlike(13:0_16:4)-H,825.396068,152.995833,171.006398,213.186004,247.170354,597.356179,383.162899,349.178549,401.173464,367.189114,653.382393,733.348724,671.392958
DLCL-PGlike(13:0_17:0)-H,847.474318,152.995833,171.006398,213.186004,269.248604,619.434429,405.241149,349.178549,423.251714,367.189114,675.460643,755.426974,693.471208
DLCL-PGlike(13:0_17:1)-H,845.458668,152.995833,171.006398,213.186004,267.232954,617.418779,403.225499,349.178549,421.236064,367.189114,673.444993,753.411324,691.455558
DLCL-PGlike(13:0_17:2)-H,843.443018,152.995833,171.006398,213.186004,265.217304,615.403129,401.209849,349.178549,419.220414,367.189114,671.429343,751.395674,689.439908
DLCL-PGlike(13:0_18:0)-H,861.489968,152.995833,171.006398,213.186004,283.264254,633.450079,419.256799,349.178549,437.267364,367.189114,689.476293,769.442624,707.486858
DLCL-PGlike(13:0_18:1)-H,859.474318,152.995833,171.006398,213.186004,281.248604,631.434429,417.241149,349.178549,435.251714,367.189114,687.460643,767.426974,705.471208
DLCL-PGlike(13:0_18:2)-H,857.458668,152.995833,171.006398,213.186004,279.232954,629.418779,415.225499,349.178549,433.236064,367.189114,685.444993,765.411324,703.455558
DLCL-PGlike(13:0_18:3)-H,855.443018,152.995833,171.006398,213.186004,277.217304,627.403129,413.209849,349.178549,431.220414,367.189114,683.429343,763.395674,701.439908
DLCL-PGlike(13:0_18:4)-H,853.427368,152.995833,171.006398,213.186004,275.201654,625.387479,411.194199,349.178549,429.204764,367.189114,681.413693,761.380024,699.424258
DLCL-PGlike(13:0_18:4)-H,851.411718,152.995833,171.006398,213.186004,273.186004,623.371829,409.178549,349.178549,427.189114,367.189114,679.398043,759.364374,697.408608
